Uid,City Name,State,Abbr
1561370327,Letona,Arkansas,AR
1561370328,Lewisville,Arkansas,AR
1561370329,Lexa,Arkansas,AR
1561370330,Lincoln,Arkansas,AR
1561370331,Little Flock,Arkansas,AR
1561370332,Little Rock,Arkansas,AR
1561370333,Lockesburg,Arkansas,AR
1561370334,London,Arkansas,AR
1561370335,Lonoke,Arkansas,AR
1561370336,Lonsdale,Arkansas,AR
1561370337,Lost Bridge Village,Arkansas,AR
1561370338,Louann,Arkansas,AR
1561370339,Lowell,Arkansas,AR
1561370340,Luxora,Arkansas,AR
1561370341,Lynn,Arkansas,AR
1561370342,Madison,Arkansas,AR
1561370343,Magazine,Arkansas,AR
1561370344,Magness,Arkansas,AR
1561370345,Magnet Cove,Arkansas,AR
1561370346,Magnolia,Arkansas,AR
1561370347,Malvern,Arkansas,AR
1561370348,Mammoth Spring,Arkansas,AR
1561370349,Manila,Arkansas,AR
1561370350,Mansfield,Arkansas,AR
1561370351,Marianna,Arkansas,AR
1561370352,Marie,Arkansas,AR
1561370353,Marion,Arkansas,AR
1561370354,Marked Tree,Arkansas,AR
1561370355,Marmaduke,Arkansas,AR
1561370356,Marshall,Arkansas,AR
1561370357,Marvell,Arkansas,AR
1561370358,Maumelle,Arkansas,AR
1561370359,Mayflower,Arkansas,AR
1561370360,Maynard,Arkansas,AR
1561370361,Maysville,Arkansas,AR
1561370362,McAlmont,Arkansas,AR
1561370363,McCaskill,Arkansas,AR
1561370364,McCrory,Arkansas,AR
1561370365,McDougal,Arkansas,AR
1561370366,McGehee,Arkansas,AR
1561370367,McNab,Arkansas,AR
1561370368,McNeil,Arkansas,AR
1561370369,McRae,Arkansas,AR
1561370370,Melbourne,Arkansas,AR
1561370371,Mena,Arkansas,AR
1561370372,Menifee,Arkansas,AR
1561370373,Midland,Arkansas,AR
1561370374,Midway,Arkansas,AR
1561370375,Midway town,Arkansas,AR
1561370376,Mineral Springs,Arkansas,AR
1561370377,Minturn,Arkansas,AR
1561370378,Mitchellville,Arkansas,AR
1561370379,Monette,Arkansas,AR
1561370380,Monticello,Arkansas,AR
1561370381,Montrose,Arkansas,AR
1561370382,Moorefield,Arkansas,AR
1561370383,Moro,Arkansas,AR
1561370384,Morrilton,Arkansas,AR
1561370385,Morrison Bluff,Arkansas,AR
1561370386,Mount Ida,Arkansas,AR
1561370387,Mount Pleasant,Arkansas,AR
1561370388,Mount Vernon,Arkansas,AR
1561370389,Mountain Home,Arkansas,AR
1561370390,Mountain Pine,Arkansas,AR
1561370391,Mountain View,Arkansas,AR
1561370392,Mountainburg,Arkansas,AR
1561370393,Mulberry,Arkansas,AR
1561370394,Murfreesboro,Arkansas,AR
1561370395,Nashville,Arkansas,AR
1561370396,Natural Steps,Arkansas,AR
1561370397,New Blaine,Arkansas,AR
1561370398,New Edinburg,Arkansas,AR
1561370399,Newark,Arkansas,AR
1561370400,Newport,Arkansas,AR
1561370401,Nimmons,Arkansas,AR
1561370402,Norfork,Arkansas,AR
1561370403,Norman,Arkansas,AR
1561370404,Norphlet,Arkansas,AR
1561370405,North Crossett,Arkansas,AR
1561370406,North Little Rock,Arkansas,AR
1561370407,O'Kean,Arkansas,AR
1561370408,Oak Grove,Arkansas,AR
1561370409,Oak Grove Heights,Arkansas,AR
1561370410,Oakhaven,Arkansas,AR
1561370411,Oden,Arkansas,AR
1561370412,Ogden,Arkansas,AR
1561370413,Oil Trough,Arkansas,AR
1561370414,Okolona,Arkansas,AR
1561370415,Ola,Arkansas,AR
1561370416,Omaha,Arkansas,AR
1561370417,Oppelo,Arkansas,AR
1561370418,Osceola,Arkansas,AR
1561370419,Oxford,Arkansas,AR
1561370420,Ozan,Arkansas,AR
1561370421,Ozark,Arkansas,AR
1561370422,Palestine,Arkansas,AR
1561370423,Pangburn,Arkansas,AR
1561370424,Paragould,Arkansas,AR
1561370425,Paris,Arkansas,AR
1561370426,Parkdale,Arkansas,AR
1561370427,Parkin,Arkansas,AR
1561370428,Patmos,Arkansas,AR
1561370429,Patterson,Arkansas,AR
1561370430,Pea Ridge,Arkansas,AR
1561370431,Peach Orchard,Arkansas,AR
1561370432,Perla,Arkansas,AR
1561370433,Perry,Arkansas,AR
1561370434,Perrytown,Arkansas,AR
1561370435,Perryville,Arkansas,AR
1561370436,Piggott,Arkansas,AR
1561370437,Pindall,Arkansas,AR
1561370438,Pine Bluff,Arkansas,AR
1561370439,Pineville,Arkansas,AR
1561370440,Piney,Arkansas,AR
1561370441,Plainview,Arkansas,AR
1561370442,Pleasant Plains,Arkansas,AR
1561370443,Plumerville,Arkansas,AR
1561370444,Pocahontas,Arkansas,AR
1561370445,Pollard,Arkansas,AR
1561370446,Portia,Arkansas,AR
1561370447,Portland,Arkansas,AR
1561370448,Pottsville,Arkansas,AR
1561370449,Powhatan,Arkansas,AR
1561370450,Poyen,Arkansas,AR
1561370451,Prairie Creek,Arkansas,AR
1561370452,Prairie Grove,Arkansas,AR
1561370453,Prattsville,Arkansas,AR
1561370454,Prescott,Arkansas,AR
1561370455,Pyatt,Arkansas,AR
1561370456,Quitman,Arkansas,AR
1561370457,Ratcliff,Arkansas,AR
1561370458,Ravenden,Arkansas,AR
